stock_code,stock_name,price,last_close,open,volume,change_amt,change_pct,high,low,amount_wan,turnover_pct,pe_ttm,amplitude_pct,mcap_yi,float_mcap_yi,pb,limit_up,limit_down,vol_ratio
000421,南京公用,5.77,5.78,5.81,8675100.0,-0.01,-0.17,5.87,5.76,5044,1.51,37.86,1.90,33.14,33.14,1.18,6.36,5.20,1.38
000422,湖北宜化,14.12,14.22,14.28,23824300.0,-0.10,-0.70,14.37,14.04,33852,2.25,17.92,2.32,149.37,153.57,2.47,15.64,12.80,1.07
000423,东阿阿胶,49.99,48.86,48.86,5799200.0,1.13,2.31,50.47,48.71,28912,0.90,18.20,3.60,321.36,321.92,3.26,53.75,43.97,1.05
000425,徐工机械,9.75,9.22,9.43,269612300.0,0.53,5.75,9.98,9.43,265027,3.01,17.33,5.97,874.45,1141.84,1.83,10.14,8.30,2.33
000426,兴业银锡,39.70,39.59,40.58,53375700.0,0.11,0.28,41.15,38.76,211404,3.01,26.43,6.04,704.76,704.93,6.51,43.55,35.63,0.78
000428,华天酒店,3.59,3.62,3.61,16365500.0,-0.03,-0.83,3.74,3.58,6002,1.61,-17.47,4.42,36.58,36.58,2.87,3.98,3.26,1.16
000429,粤高速Ａ,14.01,13.70,13.71,7169800.0,0.31,2.26,14.04,13.69,9976,0.55,18.36,2.55,182.60,292.92,2.54,15.07,12.33,1.11
000430,张家界,7.51,7.40,7.41,8676500.0,0.11,1.49,7.64,7.36,6508,2.34,-28.66,3.78,27.83,60.80,3.35,8.14,6.66,0.98
000488,ST晨鸣,2.28,2.34,2.33,13686900.0,-0.06,-2.56,2.33,2.27,3142,0.81,-0.91,2.56,38.63,67.07,16.10,2.46,2.22,0.96
000498,山东路桥,5.27,5.17,5.19,8937300.0,0.10,1.93,5.30,5.18,4698,0.62,3.81,2.32,76.38,81.81,0.49,5.69,4.65,1.40
000501,武商集团,7.81,7.51,7.50,16000800.0,0.30,3.99,7.95,7.45,12421,2.08,37.25,6.66,60.00,60.06,0.55,8.26,6.76,2.25
000502,绿景退,0.59,0.59,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-4.37,0.00,1.08,1.09,0.71,-1,-1,0.00
000503,国新健康,7.13,7.18,7.15,21199000.0,-0.05,-0.70,7.53,7.10,15464,2.16,-17.15,5.99,69.82,69.82,7.28,7.90,6.46,1.49
000504,*ST生物,9.46,9.66,9.67,3647400.0,-0.20,-2.07,9.69,9.45,3480,1.11,74.07,2.48,31.13,31.22,11.28,10.14,9.18,0.82
000505,京粮控股,5.90,5.85,5.84,8482200.0,0.05,0.85,6.02,5.82,5040,1.34,-15.84,3.42,37.31,42.89,1.49,6.44,5.27,1.00
000506,招金黄金,14.19,14.37,14.81,41948700.0,-0.18,-1.25,15.13,14.10,61089,4.52,37.73,7.17,131.78,131.83,14.83,15.81,12.93,1.00
000507,珠海港,5.13,5.07,5.07,13324800.0,0.06,1.18,5.20,5.04,6832,1.48,20.41,3.16,46.29,47.18,0.79,5.58,4.56,1.20
000508,琼民源A,23.49,23.49,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,27.09,0.00,44.03,131.44,0.00,-1,-1,0.00
000509,华塑控股,5.16,5.73,6.30,280708600.0,-0.57,-9.95,6.30,5.16,157833,26.16,-394.32,19.90,55.37,55.37,45.80,6.30,5.16,2.49
000510,新金路,16.65,17.75,17.82,59679600.0,-1.10,-6.20,17.98,16.39,100982,9.84,-44.17,8.96,101.00,107.98,10.47,19.53,15.98,0.71
000511,烯碳退,0.61,0.61,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-3.14,0.00,7.04,7.04,0.70,-1,-1,0.00
000513,丽珠集团,30.86,30.00,30.10,6885700.0,0.86,2.87,31.18,30.00,21147,1.21,13.96,3.93,175.33,274.01,1.89,33.00,27.00,1.82
000514,渝 开 发,4.45,4.39,4.42,16431200.0,0.06,1.37,4.64,4.40,7428,1.95,-26.69,5.47,37.55,37.55,1.02,4.83,3.95,1.91
000515,攀渝钛业,15.29,15.29,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-28.67,0.00,17.51,28.62,11.37,-1,-1,0.00
000516,国际医学,4.25,4.28,4.26,16095000.0,-0.03,-0.70,4.30,4.22,6855,0.73,-37.31,1.87,93.25,95.15,2.91,4.71,3.85,0.90
000517,荣安地产,1.88,1.87,1.89,32516700.0,0.01,0.53,1.98,1.86,6253,1.30,-5.02,6.42,46.85,59.86,1.29,2.06,1.68,1.47
000518,四环生物,3.50,3.56,3.44,136133100.0,-0.06,-1.69,3.67,3.35,47430,13.22,-110.90,8.99,36.03,36.03,11.15,3.92,3.20,0.61
000519,中兵红箭,19.67,19.52,19.90,151306300.0,0.15,0.77,20.86,19.56,305094,10.87,121.59,6.66,273.92,273.92,2.63,21.47,17.57,2.12
000520,凤凰航运,3.61,3.68,3.67,13166600.0,-0.07,-1.90,3.71,3.59,4803,1.30,-95.80,3.26,36.54,36.54,8.68,4.05,3.31,0.88
000521,长虹美菱,5.57,5.59,5.58,7931900.0,-0.02,-0.36,5.64,5.54,4428,0.91,19.19,1.79,48.75,57.37,0.94,6.15,5.03,1.08
000522,白云山A,23.27,23.27,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,31.28,0.00,109.15,109.15,6.55,-1,-1,0.00
000523,红棉股份,3.14,3.16,3.14,24650600.0,-0.02,-0.63,3.25,3.13,7842,1.86,50.15,3.80,41.61,57.63,2.94,3.48,2.84,1.25
000524,岭南控股,9.38,9.28,9.22,10165800.0,0.10,1.08,9.53,9.21,9568,1.52,82.34,3.45,62.84,62.87,2.72,10.21,8.35,1.38
000525,红太阳,4.84,4.99,4.99,20476400.0,-0.15,-3.01,5.00,4.82,10007,1.84,-15.58,3.61,53.81,63.07,2.54,5.49,4.49,0.93
000526,学大教育,29.03,30.63,30.54,4181100.0,-1.60,-5.22,30.64,28.50,12210,3.50,16.69,6.99,34.68,35.38,3.40,33.69,27.57,2.16
000527,美的电器,14.02,14.02,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,11.88,0.00,474.49,474.49,2.10,-1,-1,0.00
000528,柳    工,8.98,8.93,8.93,26154900.0,0.05,0.56,9.12,8.90,23622,1.29,11.74,2.46,182.67,182.92,0.96,9.82,8.04,1.10
000529,广弘控股,5.08,5.07,5.09,4968300.0,0.01,0.20,5.15,5.06,2537,0.87,27.78,1.78,28.95,29.66,0.92,5.58,4.56,1.28
000530,冰山冷热,6.23,6.13,6.10,108839500.0,0.10,1.63,6.50,6.06,68768,18.14,97.52,7.18,37.39,52.53,1.65,6.74,5.52,4.51
000531,穗恒运Ａ,7.84,7.90,7.83,74200500.0,-0.06,-0.76,8.27,7.61,58686,8.16,20.48,8.35,71.32,81.65,1.17,8.69,7.11,2.14
000532,华金资本,12.11,13.26,13.21,20752700.0,-1.15,-8.67,13.30,12.03,26108,6.04,34.48,9.58,41.60,41.74,2.57,14.59,11.93,1.02
